Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
14,Carlos Alcaraz,ar ARG,"MF,FW",Everton,22-124,2002,7,4,394,4.4,1,1,2,1,0,0,2,0,1.2,1.2,1.1,2.3,10,20,8,0.23,0.23,0.46,0.23,0.46,0.28,0.26,0.53,0.28,0.53,Matches,2024-2025
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-178,1998,28,26,2145,23.8,2,6,8,2,0,0,4,0,1.6,1.6,6.7,8.3,48,204,87,0.08,0.25,0.34,0.08,0.34,0.07,0.28,0.35,0.07,0.35,Matches,2024-2025
16,Alisson,br BRA,GK,Liverpool,32-183,1992,21,21,1878,20.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,2024-2025
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-052,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45,Matches,2024-2025
18,Edson Álvarez,mx MEX,MF,West Ham,27-161,1997,24,18,1580,17.6,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,20,70,18,0.00,0.06,0.06,0.00,0.06,0.02,0.05,0.06,0.02,0.06,Matches,2024-2025
19,Will Alves,eng ENG,FW,Leicester City,20-059,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
20,Harry Amass,eng ENG,DF,Manchester Utd,18-018,2007,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-259,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29,Matches,2024-2025
22,Mathis Amougou,fr FRA,MF,Chelsea,19-075,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-307,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,2024-2025
24,Joachim Andersen,dk DEN,DF,Fulham,28-307,1996,21,21,1863,20.7,0,0,0,0,0,0,5,1,0.4,0.4,0.3,0.8,11,93,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,2024-2025
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-148,2002,29,25,2047,22.7,1,6,7,1,0,0,6,0,1.4,1.4,3.0,4.3,35,106,70,0.04,0.26,0.31,0.04,0.31,0.06,0.13,0.19,0.06,0.19,Matches,2024-2025
26,André,br BRA,MF,Wolves,23-261,2001,25,23,1817,20.2,0,0,0,0,0,0,5,0,0.3,0.3,0.6,0.8,7,76,10,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,2024-2025
27,Michail Antonio,jm JAM,FW,West Ham,35-006,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches,2024-2025
28,Antony,br BRA,"DF,MF",Manchester Utd,25-038,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches,2024-2025
29,Julian Araujo,mx MEX,DF,Bournemouth,23-233,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
30,Cameron Archer,eng ENG,FW,Southampton,23-256,2001,27,11,1182,13.1,2,0,2,2,0,1,0,0,4.9,4.1,0.3,4.4,16,12,55,0.15,0.00,0.15,0.15,0.15,0.37,0.03,0.40,0.31,0.34,Matches,2024-2025
31,Alphonse Areola,fr FRA,GK,West Ham,32-035,1993,19,18,1630,18.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
32,Joe Aribo,ng NGA,"MF,DF",Southampton,28-256,1996,29,19,1846,20.5,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.2,34,69,62,0.15,0.00,0.15,0.15,0.15,0.13,0.08,0.21,0.13,0.21,Matches,2024-2025
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-052,1997,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,2024-2025
34,Harrison Armstrong,eng ENG,MF,Everton,18-074,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Matches,2024-2025
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-182,1994,23,23,2070,23.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
36,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-072,1996,5,2,233,2.6,3,1,4,3,0,0,0,0,1.8,1.8,0.3,2.1,10,17,9,1.16,0.39,1.55,1.16,1.55,0.69,0.11,0.79,0.69,0.79,Matches,2024-2025
37,Brandon Austin,eng ENG,GK,Tottenham,26-085,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-234,1997,23,3,363,4.0,1,0,1,1,0,0,0,0,2.2,2.2,0.1,2.3,6,7,19,0.25,0.00,0.25,0.25,0.25,0.53,0.03,0.56,0.53,0.56,Matches,2024-2025
39,Yasin Ayari,se SWE,MF,Brighton,21-179,2003,26,17,1533,17.0,0,1,1,0,0,0,3,0,1.9,1.9,2.1,4.0,21,57,54,0.00,0.06,0.06,0.00,0.06,0.11,0.12,0.24,0.11,0.24,Matches,2024-2025
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-204,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17,Matches,2024-2025
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-204,1991,25,15,1310,14.6,4,0,4,3,1,1,5,0,2.8,2.0,0.8,2.8,38,31,68,0.27,0.00,0.27,0.21,0.21,0.19,0.05,0.25,0.14,0.19,Matches,2024-2025
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-008,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-237,1997,23,14,1138,12.6,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,57,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Matches,2024-2025
44,Carlos Baleba,cm CMR,MF,Brighton,21-090,2004,26,23,1967,21.9,2,1,3,2,0,0,8,1,2.9,2.9,1.1,4.0,33,97,26,0.09,0.05,0.14,0.09,0.14,0.13,0.05,0.18,0.13,0.18,Matches,2024-2025
45,Ross Barkley,eng ENG,MF,Aston Villa,31-119,1993,16,3,554,6.2,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,14,32,8,0.49,0.16,0.65,0.49,0.65,0.27,0.09,0.37,0.27,0.37,Matches,2024-2025
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-115,1997,24,8,992,11.0,5,3,8,5,0,0,0,0,3.8,3.8,3.0,6.8,55,52,106,0.45,0.27,0.73,0.45,0.73,0.34,0.27,0.61,0.34,0.61,Matches,2024-2025
47,Calvin Bassey,ng NGA,DF,Fulham,25-093,1999,28,27,2444,27.2,1,0,1,1,0,0,5,0,1.0,1.0,0.1,1.1,22,89,11,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04,Matches,2024-2025
48,Jan Bednarek,pl POL,DF,Southampton,28-356,1996,24,24,1991,22.1,2,0,2,2,0,0,6,0,0.7,0.7,0.5,1.1,4,53,1,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05,Matches,2024-2025
49,Armel Bella Kotchap,de GER,DF,Southampton,23-113,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,2024-2025
50,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-280,1998,28,16,1374,15.3,2,6,8,2,0,0,3,0,1.2,1.2,3.2,4.5,41,32,77,0.13,0.39,0.52,0.13,0.52,0.08,0.21,0.29,0.08,0.29,Matches,2024-2025
51,Rodrigo Bentancur,uy URU,MF,Tottenham,27-282,1997,19,16,1246,13.8,2,0,2,2,0,0,7,0,1.3,1.3,0.4,1.7,19,80,24,0.14,0.00,0.14,0.14,0.14,0.10,0.03,0.13,0.10,0.13,Matches,2024-2025
52,Sander Berge,no NOR,MF,Fulham,27-048,1998,23,19,1734,19.3,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.7,19,91,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,2024-2025
53,Lucas Bergvall,se SWE,MF,Tottenham,19-060,2006,22,8,934,10.4,0,1,1,0,0,0,3,0,0.5,0.5,0.4,1.0,24,42,23,0.00,0.10,0.10,0.00,0.10,0.05,0.04,0.09,0.05,0.09,Matches,2024-2025
54,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-108,2002,27,27,2335,25.9,0,1,1,0,0,0,1,0,0.3,0.3,1.3,1.7,38,68,71,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06,Matches,2024-2025
55,Beto,gw GNB,FW,Everton,27-062,1998,22,9,1010,11.2,6,0,6,6,0,0,2,0,5.8,5.8,0.7,6.5,12,8,53,0.53,0.00,0.53,0.53,0.53,0.52,0.06,0.58,0.52,0.58,Matches,2024-2025
56,Philip Billing,dk DEN,MF,Bournemouth,28-296,1996,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.00,0.00,0.00,0.00,0.00,0.28,0.54,0.82,0.28,0.82,Matches,2024-2025
57,Yves Bissouma,ml MLI,MF,Tottenham,28-216,1996,22,14,1145,12.7,2,0,2,2,0,0,6,0,0.6,0.6,0.2,0.8,15,68,3,0.16,0.00,0.16,0.16,0.16,0.04,0.02,0.06,0.04,0.06,Matches,2024-2025
58,Oscar Bobb,no NOR,FW,Manchester City,21-265,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
59,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-088,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,2024-2025
60,Willy Boly,ci CIV,DF,Nott'ham Forest,34-059,1991,5,1,134,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,2024-2025
61,Sven Botman,nl NED,DF,Newcastle Utd,25-081,2000,3,3,224,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,2024-2025
62,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-104,1996,26,26,2276,25.3,7,5,12,6,1,1,1,0,6.4,5.7,5.3,11.0,87,76,156,0.28,0.20,0.47,0.24,0.43,0.25,0.21,0.46,0.23,0.43,Matches,2024-2025
63,Conor Bradley,nir NIR,DF,Liverpool,21-268,2003,12,2,372,4.1,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,17,17,18,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,2024-2025
64,Jarrad Branthwaite,eng ENG,DF,Everton,22-280,2002,23,21,1898,21.1,0,1,1,0,0,0,3,0,0.8,0.8,0.6,1.3,8,48,1,0.00,0.05,0.05,0.00,0.05,0.04,0.03,0.06,0.04,0.06,Matches,2024-2025
65,James Bree,eng ENG,DF,Southampton,27-174,1997,14,11,890,9.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,9,30,34,0.00,0.10,0.10,0.00,0.10,0.01,0.09,0.10,0.01,0.10,Matches,2024-2025
66,Ben Brereton,cl CHI,FW,Southampton,25-350,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches,2024-2025
67,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26-363,1998,14,5,526,5.8,1,0,1,1,0,0,1,0,1.5,1.5,0.6,2.2,14,11,22,0.17,0.00,0.17,0.17,0.17,0.26,0.11,0.37,0.26,0.37,Matches,2024-2025
68,Armando Broja,al ALB,FW,Everton,23-205,2001,7,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,10,2,17,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.11,0.06,0.11,Matches,2024-2025
69,David Brooks,wls WAL,FW,Bournemouth,27-269,1997,23,8,769,8.5,2,0,2,2,0,0,3,0,2.2,2.2,1.6,3.8,25,22,69,0.23,0.00,0.23,0.23,0.23,0.26,0.19,0.44,0.26,0.44,Matches,2024-2025
70,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-099,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.00,0.00,0.00,0.00,0.00,0.60,0.02,0.62,0.60,0.62,Matches,2024-2025
71,Santiago Bueno,uy URU,DF,Wolves,26-145,1998,23,17,1533,17.0,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,27,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,2024-2025
72,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-101,2004,26,13,1354,15.0,4,2,6,4,0,0,7,0,3.5,3.5,2.8,6.4,37,48,62,0.27,0.13,0.40,0.27,0.40,0.23,0.19,0.42,0.23,0.42,Matches,2024-2025
73,Cameron Burgess,au AUS,DF,Ipswich Town,29-164,1995,12,11,1035,11.5,0,1,1,0,0,0,0,0,0.7,0.7,0.4,1.1,2,33,3,0.00,0.09,0.09,0.00,0.09,0.06,0.03,0.09,0.06,0.09,Matches,2024-2025
74,Dan Burn,eng ENG,DF,Newcastle Utd,32-329,1992,28,28,2520,28.0,0,0,0,0,0,0,8,0,1.1,1.1,0.5,1.5,6,44,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,2024-2025
75,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-131,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.00,0.10,0.10,0.00,0.10,0.05,0.16,0.21,0.05,0.21,Matches,2024-2025
76,Moisés Caicedo,ec ECU,MF,Chelsea,23-152,2001,29,29,2541,28.2,1,2,3,1,0,0,9,0,0.6,0.6,2.6,3.2,32,151,28,0.04,0.07,0.11,0.04,0.11,0.02,0.09,0.11,0.02,0.11,Matches,2024-2025
77,Tom Cairney,sct SCO,MF,Fulham,34-073,1991,19,2,438,4.9,1,0,1,1,0,0,2,1,0.1,0.1,0.7,0.9,13,45,21,0.21,0.00,0.21,0.21,0.21,0.03,0.14,0.17,0.03,0.17,Matches,2024-2025
78,Jens Cajuste,se SWE,MF,Ipswich Town,25-236,1999,23,20,1524,16.9,1,0,1,1,0,0,2,0,0.4,0.4,0.4,0.8,22,42,13,0.06,0.00,0.06,0.06,0.06,0.02,0.02,0.05,0.02,0.05,Matches,2024-2025
79,Riccardo Calafiori,it ITA,DF,Arsenal,22-319,2002,17,11,925,10.3,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,21,54,29,0.19,0.10,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11,Matches,2024-2025
80,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-018,1997,22,19,1574,17.5,3,1,4,3,0,0,2,0,6.1,6.1,0.6,6.7,22,19,105,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Matches,2024-2025
81,Diego Carlos,br BRA,DF,Aston Villa,32-019,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,2024-2025
82,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-216,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.40,0.20,0.59,0.40,0.59,0.49,0.13,0.62,0.49,0.62,Matches,2024-2025
83,Casemiro,br BRA,MF,Manchester Utd,33-039,1992,20,14,1181,13.1,1,0,1,1,0,0,3,0,1.4,1.4,2.2,3.7,4,64,25,0.08,0.00,0.08,0.08,0.08,0.11,0.17,0.28,0.11,0.28,Matches,2024-2025
84,Kaelan Casey,eng ENG,DF,West Ham,20-157,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
85,Matty Cash,pl POL,DF,Aston Villa,27-239,1997,20,17,1476,16.4,1,1,2,1,0,0,6,0,0.3,0.3,1.1,1.4,39,32,53,0.06,0.06,0.12,0.06,0.12,0.02,0.07,0.08,0.02,0.08,Matches,2024-2025
86,Eiran Cashin,ie IRL,DF,Brighton,23-145,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
87,Timothy Castagne,be BEL,DF,Fulham,29-119,1995,20,15,1432,15.9,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,16,58,65,0.00,0.06,0.06,0.00,0.06,0.02,0.08,0.10,0.02,0.10,Matches,2024-2025
88,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-272,1999,12,12,1060,11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches,2024-2025
89,Trevoh Chalobah,eng ENG,DF,Chelsea,25-272,1999,6,4,296,3.3,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,2,12,0,0.00,0.30,0.30,0.00,0.30,0.07,0.34,0.41,0.07,0.41,Matches,2024-2025
90,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-046,1997,15,7,614,6.8,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,10,25,20,0.15,0.15,0.29,0.15,0.29,0.17,0.09,0.26,0.17,0.26,Matches,2024-2025
91,Youssef Chermiti,pt POR,"FW,MF",Everton,20-314,2004,2,0,17,0.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36,Matches,2024-2025
92,Federico Chiesa,it ITA,FW,Liverpool,27-160,1997,3,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,4,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,Matches,2024-2025
93,Ben Chilwell,eng ENG,DF,Crystal Palace,28-103,1996,4,0,84,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,3,7,0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.24,0.05,0.24,Matches,2024-2025
94,Chiquinho,pt POR,MF,Wolves,25-057,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches,2024-2025
95,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-184,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches,2024-2025
96,Ryan Christie,sct SCO,MF,Bournemouth,30-040,1995,29,27,2117,23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,32,138,43,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches,2024-2025
97,Harry Clarke,eng ENG,DF,Ipswich Town,24-032,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,2024-2025
98,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-131,2000,25,8,890,9.9,0,4,4,0,0,0,2,0,0.9,0.9,1.9,2.8,25,28,47,0.00,0.40,0.40,0.00,0.40,0.10,0.19,0.28,0.10,0.28,Matches,2024-2025
99,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-363,1991,12,5,455,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2024-2025
100,Conor Coady,eng ENG,DF,Leicester City,32-037,1993,14,11,994,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,24,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
101,Séamus Coleman,ie IRL,DF,Everton,36-174,1988,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches,2024-2025
102,Nathan Collins,ie IRL,DF,Brentford,23-338,2001,30,30,2700,30.0,2,1,3,2,0,0,4,0,2.3,2.3,1.4,3.7,24,105,17,0.07,0.03,0.10,0.07,0.10,0.08,0.05,0.12,0.08,0.12,Matches,2024-2025
103,Toby Collyer,eng ENG,MF,Manchester Utd,21-090,2004,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22,Matches,2024-2025
