Squad,Season,Poss,Age,xG.1,xAG.1,xG+xAG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Fulham,2023-2024,50.6,28.4,1.34,0.99,2.33,639.95,73.47,226.82,272.61,146.53,22.34,639.89,14.47,7.13,1.3,6.11,1.11,365.34,1912.5,967.82,17.63,13.37,3.97,13.68,8.55,425.87,38.21
Liverpool,2023-2024,61.3,26.3,2.31,1.68,3.98,756.95,57.71,194.47,362.0,207.08,37.42,756.71,19.39,8.71,1.18,8.71,1.18,470.89,2432.21,1269.58,24.32,18.26,7.76,15.11,10.71,532.37,55.03
Luton Town,2023-2024,42.4,26.7,1.12,0.78,1.89,517.24,69.21,184.95,208.03,130.63,20.53,517.11,20.29,9.32,1.21,8.71,1.13,264.97,1578.03,784.61,17.76,12.63,4.45,15.26,10.13,287.13,28.79
Manchester City,2023-2024,65.2,26.6,2.12,1.58,3.7,826.68,56.89,184.53,377.58,270.0,38.58,826.42,19.24,9.92,1.36,7.42,1.02,531.84,2773.61,1528.18,29.66,22.82,10.92,11.61,9.37,640.61,53.47
Manchester Utd,2023-2024,50.6,26.1,1.49,1.06,2.54,631.53,77.32,215.71,259.37,161.74,26.97,631.34,18.34,8.18,1.17,7.97,1.14,367.87,1983.11,1042.08,19.95,13.76,7.21,12.74,9.0,410.45,38.63
Newcastle Utd,2023-2024,52.2,27.2,2.0,1.35,3.35,631.68,64.39,212.74,266.95,158.0,28.79,631.47,19.21,9.34,1.28,7.58,1.04,359.21,1933.18,962.76,19.39,13.34,6.39,13.32,10.53,420.89,40.66
Nott'ham Forest,2023-2024,40.6,25.7,1.31,1.0,2.31,529.63,65.61,193.13,218.95,123.32,20.66,529.61,15.89,7.24,1.2,7.05,1.17,268.87,1440.76,767.95,15.82,10.37,4.08,13.87,7.53,310.11,29.55
Sheffield Utd,2023-2024,35.8,25.7,1.01,0.68,1.69,472.39,74.13,188.32,188.03,100.79,17.0,472.26,15.29,6.61,1.14,7.53,1.29,219.26,1142.42,537.16,9.11,7.55,3.37,12.87,8.47,248.89,23.03
Tottenham,2023-2024,61.6,25.2,1.79,1.51,3.31,750.76,73.45,224.21,322.63,210.79,34.63,750.71,21.37,9.45,1.16,9.55,1.18,475.97,2442.74,1226.26,25.18,16.68,9.18,14.71,9.87,539.05,55.18
West Ham,2023-2024,41.1,28.3,1.38,0.92,2.29,549.34,68.55,192.13,239.47,123.47,19.74,549.18,19.61,9.29,1.25,8.45,1.13,294.32,1596.26,757.95,14.63,9.71,4.42,13.55,10.45,327.87,31.37
Wolves,2023-2024,48.9,26.6,1.23,0.84,2.07,618.08,74.29,228.26,270.11,126.42,19.45,617.97,21.66,10.92,1.33,8.53,1.04,343.55,1877.39,966.61,17.66,13.66,4.42,14.11,10.24,404.0,30.61
Arsenal,2022-2023,59.3,24.7,1.88,1.41,3.29,681.84,52.47,174.53,301.39,210.92,34.11,681.74,19.95,9.42,1.24,7.63,1.01,419.03,2208.32,1162.74,21.68,15.37,7.39,13.84,9.95,476.34,53.26
Aston Villa,2022-2023,49.3,27.0,1.32,1.02,2.34,565.79,73.24,208.21,238.87,123.82,19.63,565.66,17.95,7.71,1.13,7.34,1.08,323.55,1725.79,872.37,16.76,11.42,4.58,14.87,9.76,357.55,32.29
Bournemouth,2022-2023,40.4,26.3,1.01,0.75,1.76,525.0,77.21,210.63,208.76,112.0,18.39,525.0,19.55,8.66,1.17,9.05,1.22,272.11,1456.84,721.87,13.26,10.24,3.79,15.5,9.66,305.71,25.95
Brentford,2022-2023,43.8,26.2,1.48,1.01,2.49,519.71,69.26,191.84,205.34,127.24,21.76,519.5,15.79,7.03,1.17,6.53,1.09,273.92,1289.95,631.39,10.32,7.89,2.68,13.68,8.84,294.82,29.5
Brighton,2022-2023,60.2,26.3,1.93,1.37,3.3,703.37,65.03,206.42,321.39,180.87,29.0,703.21,19.11,9.08,1.25,7.34,1.01,429.76,2203.11,1156.97,21.29,14.39,6.58,14.68,8.53,499.76,48.11
Chelsea,2022-2023,58.7,26.3,1.3,1.02,2.32,714.89,67.47,222.66,317.29,180.26,25.21,714.82,22.05,10.0,1.19,9.26,1.11,435.21,2197.61,1147.26,21.82,16.37,5.68,14.95,10.03,501.71,45.5
Crystal Palace,2022-2023,46.3,26.7,1.03,0.76,1.8,571.39,67.89,201.79,244.08,131.34,20.16,571.32,20.63,9.66,1.23,8.26,1.06,307.55,1586.87,789.87,14.63,10.34,5.42,16.92,12.03,350.11,32.58
Everton,2022-2023,42.8,26.6,1.19,0.85,2.04,532.45,66.5,189.97,221.53,127.11,19.53,532.34,17.74,8.16,1.21,7.79,1.16,275.76,1493.08,733.11,13.16,10.29,3.61,15.92,7.89,308.11,27.42
Fulham,2022-2023,48.8,28.2,1.22,0.75,1.97,583.21,67.45,196.37,250.66,142.53,19.95,582.97,15.97,7.39,1.22,6.26,1.03,322.42,1795.16,930.89,17.45,12.47,3.26,14.08,9.97,364.42,34.63
Leeds United,2022-2023,47.0,25.3,1.24,0.84,2.08,569.53,55.92,183.45,244.47,147.03,20.95,569.45,18.13,7.08,1.03,8.63,1.25,298.5,1448.13,712.11,14.61,9.97,3.84,15.84,11.08,324.47,37.32
Leicester City,2022-2023,47.7,26.1,1.33,1.01,2.34,608.53,70.55,221.29,270.87,122.13,18.11,608.37,16.39,7.74,1.24,6.45,1.03,329.03,1667.26,832.08,15.26,9.55,4.61,14.42,8.24,389.39,34.05
Liverpool,2022-2023,60.8,27.4,1.88,1.46,3.35,747.32,60.79,213.66,350.76,188.13,32.95,747.21,18.24,8.5,1.23,7.39,1.07,451.26,2170.26,1092.82,18.92,14.97,6.16,15.37,10.87,524.24,51.95
Manchester City,2022-2023,64.7,27.2,2.07,1.51,3.58,786.71,57.11,195.0,378.21,218.45,33.61,786.45,18.53,8.84,1.26,6.29,0.89,503.21,2739.45,1479.37,26.0,19.84,7.34,10.68,7.84,605.05,54.05
Manchester Utd,2022-2023,53.7,26.9,1.78,1.37,3.15,653.87,69.45,212.97,273.39,172.87,27.26,653.79,19.21,8.34,1.14,8.89,1.22,374.87,1851.34,977.0,18.71,13.55,6.29,13.08,7.71,432.82,41.53
Newcastle Utd,2022-2023,52.3,27.3,1.89,1.36,3.26,581.74,54.95,177.82,238.24,171.47,30.55,581.58,20.63,9.21,1.17,8.47,1.08,316.39,1689.11,868.08,18.29,12.97,6.0,15.16,9.55,363.24,42.08
Nott'ham Forest,2022-2023,37.6,26.5,1.03,0.69,1.73,471.34,71.45,195.26,182.97,98.82,16.08,471.18,15.05,6.79,1.19,6.16,1.08,228.26,1221.34,632.11,11.47,8.11,2.92,14.13,7.24,248.74,22.29
Southampton,2022-2023,44.5,24.7,0.99,0.74,1.73,555.11,69.45,196.13,236.76,128.39,18.74,555.0,20.0,9.53,1.25,8.37,1.1,297.97,1605.32,784.76,15.47,11.89,3.45,14.92,10.55,321.47,29.26
Tottenham,2022-2023,50.0,27.6,1.5,1.13,2.63,627.26,71.95,225.55,271.82,135.13,22.16,627.11,17.53,8.05,1.21,7.58,1.14,359.97,1876.05,969.53,18.21,12.24,4.97,13.71,9.37,417.47,37.79
West Ham,2022-2023,42.1,28.2,1.29,0.86,2.15,537.13,62.16,181.53,229.05,131.39,19.89,536.92,16.18,6.58,1.07,7.0,1.14,277.37,1511.87,743.34,16.18,10.87,4.37,12.05,9.39,322.53,33.32
Wolves,2022-2023,49.9,26.7,0.97,0.67,1.64,593.13,76.87,224.84,243.79,130.53,18.05,593.05,20.58,10.13,1.29,7.95,1.02,325.63,1769.5,922.92,16.05,11.08,3.74,13.58,8.58,380.34,35.05
Arsenal,2021-2022,52.8,24.4,1.59,1.06,2.65,625.79,58.61,188.18,272.0,170.82,25.84,625.58,15.53,8.39,1.42,7.13,1.21,368.24,1935.0,1036.53,19.32,13.0,5.87,14.66,8.87,422.79,43.21
Aston Villa,2021-2022,46.5,26.1,1.16,0.92,2.08,542.34,63.45,180.95,234.11,132.87,21.71,542.26,15.45,8.76,1.49,6.68,1.14,310.42,1645.03,833.53,17.18,11.11,4.37,15.66,9.05,333.37,34.03
Brentford,2021-2022,44.8,25.4,1.21,0.87,2.07,538.47,73.5,206.89,215.82,120.16,21.55,538.32,12.53,6.89,1.45,5.63,1.18,270.53,1313.82,686.45,11.84,8.74,2.68,14.82,7.66,304.34,30.79
Brighton,2021-2022,54.4,26.2,1.21,0.85,2.06,654.05,69.18,211.42,276.84,171.18,23.05,653.87,14.71,8.34,1.49,6.37,1.14,366.29,1803.61,923.55,17.79,13.66,3.66,15.74,9.18,428.37,40.24
Burnley,2021-2022,40.2,28.5,1.05,0.82,1.87,483.45,59.13,153.74,211.87,123.32,17.45,483.39,12.61,6.79,1.42,5.82,1.21,216.55,1112.42,501.61,10.21,7.89,2.21,14.21,7.66,245.84,25.21
Chelsea,2021-2022,61.8,27.4,1.67,1.18,2.85,762.5,59.97,208.58,352.24,207.39,28.05,762.26,16.42,9.58,1.53,6.84,1.1,449.74,2268.08,1223.79,23.53,19.18,6.39,15.55,10.08,553.68,51.47
Crystal Palace,2021-2022,51.1,27.1,1.22,0.82,2.04,617.53,72.45,230.63,262.87,130.08,19.71,617.32,18.08,10.05,1.46,8.03,1.17,345.5,1734.95,873.05,15.58,10.79,3.92,17.66,12.39,391.53,31.95
Everton,2021-2022,40.0,26.7,1.09,0.75,1.83,501.97,60.24,168.26,207.87,131.92,19.16,501.79,16.68,8.87,1.4,7.76,1.22,247.95,1406.39,673.66,13.47,10.21,3.76,16.84,8.55,270.42,28.58
Leeds United,2021-2022,52.3,26.1,1.17,0.82,1.99,597.5,68.63,224.24,250.05,129.45,20.76,597.37,17.24,8.92,1.36,8.32,1.27,322.63,1765.76,956.68,17.66,10.84,4.47,17.79,7.84,364.87,38.61
Leicester City,2021-2022,52.0,26.5,1.26,0.9,2.16,642.34,72.92,225.66,291.24,130.58,19.63,642.29,14.39,7.82,1.43,6.58,1.2,365.71,1808.11,914.82,16.37,12.29,4.13,15.82,9.68,422.0,35.55
Liverpool,2021-2022,62.7,27.7,2.33,1.67,4.0,778.29,56.05,189.34,373.05,221.55,36.24,778.08,16.71,9.03,1.42,7.66,1.21,454.26,2215.53,1192.76,23.29,17.68,7.63,15.53,9.63,553.74,58.61
Manchester City,2021-2022,67.9,27.0,2.33,1.72,4.06,825.82,48.34,172.79,402.13,256.03,39.45,825.58,19.5,11.18,1.51,8.32,1.12,554.32,2895.21,1610.53,30.13,22.11,10.16,13.08,8.32,637.16,63.21
Manchester Utd,2021-2022,52.7,27.2,1.47,1.12,2.59,648.74,59.37,194.5,293.18,166.61,23.24,648.61,16.61,9.68,1.53,6.92,1.1,367.21,2010.37,1091.97,20.63,15.45,5.61,14.16,8.76,436.58,41.11
Newcastle Utd,2021-2022,40.4,27.5,1.0,0.68,1.68,481.08,60.79,177.13,196.92,113.53,19.13,481.0,16.63,9.45,1.49,7.18,1.14,243.24,1339.37,630.63,14.32,10.45,4.29,16.37,9.45,266.13,23.97
Norwich City,2021-2022,42.9,26.2,0.85,0.64,1.49,532.47,76.61,216.97,211.76,109.66,15.82,532.39,15.29,7.84,1.35,7.45,1.28,293.05,1601.42,791.42,14.89,9.37,3.32,14.42,8.24,317.03,26.79
Southampton,2021-2022,47.7,25.7,1.18,0.85,2.03,563.63,58.32,172.13,247.61,150.34,21.84,563.53,16.42,9.21,1.48,7.21,1.16,291.71,1640.18,826.97,19.16,14.76,5.18,16.47,9.63,326.0,34.58
Tottenham,2021-2022,51.8,26.5,1.61,1.24,2.85,654.03,66.18,210.79,301.39,148.08,22.74,653.89,17.55,9.87,1.48,7.66,1.15,397.95,2158.87,1114.16,20.82,15.68,5.13,15.47,8.97,449.92,38.16
Watford,2021-2022,40.7,28.4,1.05,0.86,1.91,504.24,64.97,190.66,205.97,113.89,16.45,504.18,19.76,10.39,1.38,9.37,1.25,248.11,1351.84,654.29,14.66,10.0,3.89,16.82,10.24,271.58,27.82
West Ham,2021-2022,47.9,28.2,1.35,0.99,2.34,587.66,64.32,184.53,262.95,145.87,21.32,587.5,14.34,8.05,1.48,6.29,1.16,332.16,1792.11,859.58,17.0,12.61,4.5,13.68,7.74,374.45,37.82
Wolves,2021-2022,49.5,27.3,0.99,0.69,1.68,614.05,69.92,222.95,268.53,128.61,18.5,614.03,20.29,11.84,1.54,8.45,1.09,337.82,1824.68,952.32,19.03,13.74,5.0,15.74,8.97,397.82,33.21
Arsenal,2020-2021,53.5,25.9,1.36,0.92,2.29,669.24,63.84,209.74,299.58,164.21,23.95,669.08,14.08,7.79,1.46,6.29,1.18,408.74,2188.84,1186.34,19.95,13.13,5.13,13.45,6.84,471.68,46.0
Aston Villa,2020-2021,48.5,25.2,1.38,0.98,2.37,555.61,67.82,183.5,226.68,151.55,24.92,555.45,15.66,9.71,1.63,5.87,0.99,297.13,1588.89,806.82,16.55,12.18,5.95,15.24,8.87,337.68,36.92
Brighton,2020-2021,51.1,25.8,1.34,0.87,2.21,625.16,65.5,208.63,269.24,153.37,23.29,624.92,15.08,9.21,1.61,5.84,1.02,355.03,1939.71,989.68,18.03,12.32,3.45,14.45,8.05,411.42,39.34
Burnley,2020-2021,42.1,28.3,1.03,0.73,1.76,510.29,57.39,152.47,238.97,123.24,18.39,510.21,10.61,6.16,1.53,4.47,1.11,243.16,1220.66,551.21,10.24,8.95,1.97,13.24,7.32,283.03,26.37
Chelsea,2020-2021,60.9,26.0,1.64,1.09,2.73,786.55,65.84,233.66,366.24,192.32,26.76,786.29,17.29,9.45,1.44,7.84,1.19,461.13,2385.82,1270.82,23.55,17.45,6.39,15.39,7.53,575.03,47.03
Crystal Palace,2020-2021,40.6,29.1,0.9,0.62,1.52,521.0,57.71,182.03,228.87,116.05,17.18,520.89,16.97,9.61,1.49,7.37,1.14,269.11,1488.03,707.5,13.84,10.21,3.97,15.68,10.58,303.26,29.29
Everton,2020-2021,46.4,26.3,1.2,0.81,2.01,601.18,71.82,216.71,269.95,120.66,16.92,601.05,15.55,9.53,1.61,6.03,1.02,331.66,1858.21,956.24,15.89,11.66,2.76,14.53,9.05,387.0,30.97
Fulham,2020-2021,49.7,25.2,1.07,0.69,1.76,626.58,63.34,212.18,274.68,146.5,19.16,626.42,20.92,13.32,1.67,7.61,0.96,352.79,1954.68,983.68,19.13,13.82,4.11,18.97,10.34,402.37,35.21
Leeds United,2020-2021,57.3,26.1,1.46,1.1,2.57,654.55,72.37,237.97,272.24,149.87,23.16,654.45,14.82,8.37,1.49,6.45,1.14,370.16,2116.92,1180.68,21.34,12.92,4.16,17.55,8.39,425.11,42.76
Leicester City,2020-2021,54.3,26.5,1.47,0.89,2.36,667.5,59.68,208.53,315.71,149.32,20.32,667.18,16.97,9.42,1.46,7.55,1.17,368.18,1903.68,975.58,17.53,12.66,3.74,14.45,8.47,444.29,38.29
Liverpool,2020-2021,62.1,26.8,1.78,1.27,3.05,791.39,54.61,189.87,391.24,216.89,31.87,791.24,18.32,10.71,1.54,7.58,1.09,502.71,2532.11,1336.26,23.32,19.84,6.55,15.58,10.18,573.58,53.71
Manchester City,2020-2021,63.5,26.1,1.8,1.19,2.99,807.89,50.32,170.45,420.0,223.79,31.47,807.66,20.61,12.76,1.63,7.84,1.0,527.34,2800.63,1564.29,28.84,22.71,8.95,13.42,9.21,622.11,53.5
Manchester Utd,2020-2021,55.7,25.6,1.58,1.1,2.68,700.45,58.47,200.24,314.47,192.71,24.24,700.16,18.71,10.92,1.54,7.71,1.08,407.39,2339.11,1249.87,23.08,17.53,5.29,14.11,9.47,491.34,47.82
Newcastle Utd,2020-2021,38.8,27.1,1.14,0.76,1.91,494.05,66.42,188.58,207.74,103.71,14.53,493.87,15.45,9.21,1.57,6.24,1.06,252.76,1350.24,650.18,12.29,9.89,3.0,13.66,7.82,282.37,23.37
Sheffield Utd,2020-2021,41.7,26.7,0.86,0.66,1.52,535.55,60.89,168.55,226.29,145.71,16.18,535.45,12.5,7.08,1.49,5.45,1.15,267.84,1430.11,711.29,12.92,10.47,2.74,14.11,8.5,316.76,31.13
Southampton,2020-2021,52.0,26.6,1.09,0.68,1.77,621.24,60.58,197.29,304.37,125.16,18.37,621.08,15.82,9.03,1.5,6.79,1.13,329.87,1741.37,882.53,16.47,13.61,3.32,16.79,10.16,389.95,31.32
Tottenham,2020-2021,51.6,27.2,1.4,0.93,2.33,649.21,67.82,210.29,314.08,131.5,18.42,649.08,18.82,10.61,1.48,8.21,1.15,364.26,1922.58,978.5,16.66,13.32,4.0,13.66,8.79,431.68,34.63
West Brom,2020-2021,37.9,26.4,0.94,0.64,1.59,480.18,66.82,175.53,197.82,111.5,15.21,480.05,13.29,6.95,1.38,6.34,1.26,217.42,1180.55,566.5,11.61,7.45,2.71,16.13,8.24,254.42,26.76
West Ham,2020-2021,43.2,27.8,1.46,1.04,2.5,547.63,60.37,174.68,245.87,133.16,20.03,547.53,14.26,7.84,1.45,6.42,1.18,288.42,1666.68,800.42,17.32,11.97,4.0,12.92,8.37,331.74,33.24
Wolves,2020-2021,49.3,26.3,0.96,0.63,1.6,612.08,57.63,190.68,290.0,137.0,18.26,611.97,20.5,12.32,1.58,8.18,1.05,349.26,1918.63,1015.21,21.05,14.89,4.66,15.58,8.13,405.39,33.32
Arsenal,2019-2020,53.8,25.8,1.24,0.83,2.06,642.74,72.03,220.21,280.21,148.11,21.61,642.66,18.34,10.82,1.55,7.53,1.08,379.21,2238.66,1229.16,21.45,14.05,5.5,14.39,9.74,434.92,42.89
Aston Villa,2019-2020,44.1,25.7,1.16,0.9,2.06,525.71,69.95,185.21,215.87,130.76,18.29,525.63,14.97,9.26,1.63,5.71,1.0,271.5,1615.08,830.45,16.82,12.53,3.66,14.37,8.24,303.84,32.34
Bournemouth,2019-2020,44.1,25.2,1.18,0.8,1.98,549.26,67.26,196.63,228.5,129.37,18.87,549.16,15.84,8.55,1.42,7.29,1.21,317.63,1650.61,821.37,15.82,11.16,3.58,15.03,10.11,314.37,32.58
Brighton,2019-2020,52.2,26.4,1.2,0.83,2.03,641.76,71.61,215.11,282.21,149.82,20.26,641.71,15.37,8.82,1.51,6.55,1.12,344.05,1946.05,997.32,17.61,13.21,4.34,16.47,10.5,415.32,43.71
Burnley,2019-2020,41.9,28.0,1.25,0.85,2.1,495.45,58.53,147.26,236.66,116.05,16.24,495.34,11.95,6.47,1.43,5.47,1.21,232.32,1224.87,569.82,11.5,9.26,1.87,13.39,7.66,262.34,23.21
Chelsea,2019-2020,60.4,25.5,1.82,1.23,3.05,776.03,60.03,218.71,368.32,195.34,27.97,775.84,18.89,12.11,1.69,6.79,0.94,486.53,2595.74,1359.03,25.87,19.08,5.84,15.34,10.89,548.63,49.47
Crystal Palace,2019-2020,44.8,29.4,0.94,0.68,1.63,550.74,62.55,191.47,237.29,128.32,20.87,550.66,18.37,11.37,1.63,7.0,1.0,271.18,1539.97,771.08,15.68,11.26,5.21,16.08,12.61,320.71,31.79
Everton,2019-2020,49.0,25.5,1.34,1.0,2.34,579.87,66.16,194.45,251.61,139.5,22.05,579.84,16.03,9.84,1.62,6.18,1.02,327.16,1721.79,857.58,16.39,13.21,3.84,15.61,9.08,351.16,37.39
Leicester City,2019-2020,57.1,26.1,1.64,1.18,2.82,690.71,57.55,205.63,321.74,168.82,24.34,690.53,18.11,9.92,1.44,8.18,1.19,421.53,2031.05,1041.66,19.45,14.76,5.87,15.84,8.63,460.13,42.13
Liverpool,2019-2020,62.9,26.6,1.81,1.39,3.21,782.87,54.66,188.63,391.79,208.13,31.39,782.74,17.32,10.18,1.55,7.13,1.08,530.68,2489.74,1320.92,25.45,20.58,6.63,15.97,8.05,556.61,50.66
Manchester City,2019-2020,66.2,26.9,2.42,1.8,4.22,839.05,52.87,179.11,410.76,255.79,38.76,838.76,18.97,12.82,1.78,6.18,0.86,605.84,3113.87,1748.05,31.55,25.37,9.92,12.0,8.97,642.84,64.55
Manchester Utd,2019-2020,55.8,24.8,1.64,1.01,2.65,679.95,57.03,190.05,311.58,184.03,23.11,679.58,19.66,11.74,1.57,7.92,1.06,381.53,2184.63,1217.95,24.37,17.92,6.71,14.71,10.42,464.0,46.82
